2019-06-21 23:50:23,080 [  50088]   INFO - il.indexing.FileBasedIndexImpl - Index FilenameIndex will be built. 
2019-06-21 23:50:23,167 [  50175]   INFO - il.indexing.FileBasedIndexImpl - Index filetypes will be built. 
2019-06-21 23:50:23,213 [  50221]   INFO - il.indexing.FileBasedIndexImpl - Index FrameworkDetectionIndex will be built. 
2019-06-21 23:50:23,273 [  50281]   INFO - il.indexing.FileBasedIndexImpl - Index TodoIndex will be built. 
2019-06-21 23:50:23,366 [  50374]   INFO - tellij.psi.stubs.StubIndexImpl - All stub exts enumerated:307, number of extensions:74 
2019-06-21 23:50:23,367 [  50375]   INFO - tellij.psi.stubs.StubIndexImpl - stub exts update scheduled:0 
2019-06-21 23:50:23,429 [  50437]   INFO - pi.util.registry.RegistryValue - Registry value 'ide.tooltip.show.with.actions' has changed to 'true' 
2019-06-21 23:50:23,519 [  50527]   INFO - il.indexing.FileBasedIndexImpl - Index IdIndex will be built. 
2019-06-21 23:50:23,544 [  50552]   INFO - il.indexing.FileBasedIndexImpl - Index Stubs will be built. 
2019-06-21 23:50:23,846 [  50854]   INFO - plication.impl.ApplicationImpl - 72 application components initialized in 4684ms 
2019-06-21 23:50:23,880 [  50888]   INFO - .intellij.idea.IdeaApplication - App initialization took 53696 ms 
2019-06-21 23:50:24,032 [  51040]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:ECMAScript 6,TypeScript JSX,Flow,HTML,Spacebars,EJS,CoffeeScript,Literate CoffeeScript,Sass,Stylus,SCSS,Handlebars/Mustache,Less,CSS,ActionScript,TypeScript,JavaScript,Vue.js,JSP,Jade,Angular Metadata JSON,Markdown,JSX Harmony,Angular2Html,XML 
2019-06-21 23:50:24,153 [  51161]   INFO - il.indexing.FileBasedIndexImpl - Index Trigram.Index will be built. 
2019-06-21 23:50:24,169 [  51177]   INFO - j.ide.ui.OptionsTopHitProvider - 1877 ms spent to cache options in application 
2019-06-21 23:50:24,170 [  51178]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.OptionsTopHitProvider$Activity took 1877 ms 
2019-06-21 23:50:24,223 [  51231]   INFO - il.indexing.FileBasedIndexImpl - Index fileIncludes will be built. 
2019-06-21 23:50:24,287 [  51295]   INFO - il.indexing.FileBasedIndexImpl - Index DomFileIndex will be built. 
2019-06-21 23:50:24,290 [  51298]   INFO - il.indexing.FileBasedIndexImpl - Index RelaxSymbolIndex will be built. 
2019-06-21 23:50:24,297 [  51305]   INFO - il.indexing.FileBasedIndexImpl - Index XmlTagNames will be built. 
2019-06-21 23:50:24,301 [  51309]   INFO - il.indexing.FileBasedIndexImpl - Index XmlNamespaces will be built. 
2019-06-21 23:50:24,306 [  51314]   INFO - il.indexing.FileBasedIndexImpl - Index html5.custom.attributes.index will be built. 
2019-06-21 23:50:24,309 [  51317]   INFO - il.indexing.FileBasedIndexImpl - Index SchemaTypeInheritance will be built. 
2019-06-21 23:50:24,318 [  51326]   INFO - il.indexing.FileBasedIndexImpl - Index ImageFileInfoIndex will be built. 
2019-06-21 23:50:24,322 [  51330]   INFO - il.indexing.FileBasedIndexImpl - Index json.file.root.values will be built. 
2019-06-21 23:50:24,336 [  51344]   INFO - il.indexing.FileBasedIndexImpl - Index HtmlTagIdIndex will be built. 
2019-06-21 23:50:24,357 [  51365]   INFO - il.indexing.FileBasedIndexImpl - Index XsltSymbolIndex will be built. 
2019-06-21 23:50:24,370 [  51378]   INFO - il.indexing.FileBasedIndexImpl - Index CssIndex will be built. 
2019-06-21 23:50:24,385 [  51393]   INFO - il.indexing.FileBasedIndexImpl - Index css.template.selectors will be built. 
2019-06-21 23:50:24,388 [  51396]   INFO - il.indexing.FileBasedIndexImpl - Index editorconfig.index.name will be built. 
2019-06-21 23:50:24,395 [  51403]   INFO - il.indexing.FileBasedIndexImpl - Index CompassFunctionsIndex will be built. 
2019-06-21 23:50:24,428 [  51436]   INFO - il.indexing.FileBasedIndexImpl - Index js.test.names will be built. 
2019-06-21 23:50:24,449 [  51457]   INFO - il.indexing.FileBasedIndexImpl - Index js.package.index will be built. 
2019-06-21 23:50:24,452 [  51460]   INFO - il.indexing.FileBasedIndexImpl - Index js.custom.single.entry.index will be built. 
2019-06-21 23:50:24,462 [  51470]   INFO - il.indexing.FileBasedIndexImpl - Index js.implicit.elements.index will be built. 
2019-06-21 23:50:24,468 [  51476]   INFO - il.indexing.FileBasedIndexImpl - Index angularjs.template.cache will be built. 
2019-06-21 23:50:24,472 [  51480]   INFO - il.indexing.FileBasedIndexImpl - Index angularjs.ui.router.views.index will be built. 
2019-06-21 23:50:24,475 [  51483]   INFO - il.indexing.FileBasedIndexImpl - Index angularjs.app.index will be built. 
2019-06-21 23:50:24,477 [  51485]   INFO - il.indexing.FileBasedIndexImpl - Index WebComponentsIndex will be built. 
2019-06-21 23:50:24,480 [  51488]   INFO - il.indexing.FileBasedIndexImpl - Index MeteorTemplateIndex will be built. 
2019-06-21 23:50:24,484 [  51492]   INFO - il.indexing.FileBasedIndexImpl - Index http.request.execution.environment will be built. 
2019-06-21 23:50:24,491 [  51499]   INFO - il.indexing.FileBasedIndexImpl - Index yaml.keys.name will be built. 
2019-06-21 23:50:24,498 [  51506]   INFO - il.indexing.FileBasedIndexImpl - Index DartImportIndex will be built. 
2019-06-21 23:50:24,501 [  51509]   INFO - il.indexing.FileBasedIndexImpl - Index DartPathIndex will be built. 
2019-06-21 23:50:24,505 [  51513]   INFO - il.indexing.FileBasedIndexImpl - Index DartClassIndex will be built. 
2019-06-21 23:50:24,508 [  51516]   INFO - il.indexing.FileBasedIndexImpl - Index DartLibraryIndex will be built. 
2019-06-21 23:50:24,511 [  51519]   INFO - il.indexing.FileBasedIndexImpl - Index DartComponentIndex will be built. 
2019-06-21 23:50:24,514 [  51522]   INFO - il.indexing.FileBasedIndexImpl - Index DartSymbolIndex will be built. 
2019-06-21 23:50:24,517 [  51525]   INFO - il.indexing.FileBasedIndexImpl - Index docker.compose.services will be built. 
2019-06-21 23:50:24,525 [  51533]   INFO - pl$FileIndexDataInitialization - Initialization done:1477 
2019-06-21 23:50:24,526 [  51534]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.namespaceKey will be built. 
2019-06-21 23:50:24,535 [  51543]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.elementClass will be built. 
2019-06-21 23:50:24,536 [  51544]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.ampersand.selector will be built. 
2019-06-21 23:50:24,538 [  51546]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.class will be built. 
2019-06-21 23:50:24,540 [  51548]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.id will be built. 
2019-06-21 23:50:24,541 [  51549]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.attr will be built. 
2019-06-21 23:50:24,544 [  51552]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.custom.property will be built. 
2019-06-21 23:50:24,545 [  51553]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.custom.mixin will be built. 
2019-06-21 23:50:24,547 [  51555]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index markdown.header will be built. 
2019-06-21 23:50:24,548 [  51556]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Less.mixins will be built. 
2019-06-21 23:50:24,550 [  51558]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Less.variables will be built. 
2019-06-21 23:50:24,553 [  51561]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Scss.variable will be built. 
2019-06-21 23:50:24,555 [  51563]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Scss.placeholder.selector will be built. 
2019-06-21 23:50:24,556 [  51564]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Scss.function will be built. 
2019-06-21 23:50:24,559 [  51567]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Scss.mixin will be built. 
2019-06-21 23:50:24,561 [  51569]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Stylus.variables will be built. 
2019-06-21 23:50:24,562 [  51570]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Stylus.mixins will be built. 
2019-06-21 23:50:24,565 [  51573]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.qualified.shortName will be built. 
2019-06-21 23:50:24,566 [  51574]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.element.qualifiedName will be built. 
2019-06-21 23:50:24,568 [  51576]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index JS.global.qualified.elements will be built. 
2019-06-21 23:50:24,569 [  51577]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index ts.external.module.index will be built. 
2019-06-21 23:50:24,571 [  51579]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index JS.class.super will be built. 
2019-06-21 23:50:24,573 [  51581]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index JS.class.implements will be built. 
2019-06-21 23:50:24,574 [  51582]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index JS.custom.stub.index will be built. 
2019-06-21 23:50:24,576 [  51584]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.symbol.index2 will be built. 
2019-06-21 23:50:24,578 [  51586]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.typedef.index2 will be built. 
2019-06-21 23:50:24,580 [  51588]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.generics.index will be built. 
2019-06-21 23:50:24,583 [  51591]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index JS.base.types.index will be built. 
2019-06-21 23:50:24,586 [  51594]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.class.index2 will be built. 
2019-06-21 23:50:24,588 [  51596]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.namespace.index will be built. 
2019-06-21 23:50:24,590 [  51598]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.namespace.including.local.members.index will be built. 
2019-06-21 23:50:24,591 [  51599]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index JS.subclass.stub.index will be built. 
2019-06-21 23:50:24,593 [  51601]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.symbol.qualified.names.index will be built. 
2019-06-21 23:50:24,594 [  51602]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index amd.baseUrl.index will be built. 
2019-06-21 23:50:24,596 [  51604]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index amd.requirePaths.index will be built. 
2019-06-21 23:50:24,598 [  51606]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.global.symbol.index will be built. 
2019-06-21 23:50:24,599 [  51607]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.exported.index will be built. 
2019-06-21 23:50:24,601 [  51609]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index es6.exported.index will be built. 
2019-06-21 23:50:24,603 [  51611]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index es6.assignment.index will be built. 
2019-06-21 23:50:24,605 [  51613]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index ts.local.classes will be built. 
2019-06-21 23:50:24,607 [  51615]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index ts.embedded.content.index will be built. 
2019-06-21 23:50:24,609 [  51617]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.nonglobal.symbol.index will be built. 
2019-06-21 23:50:24,610 [  51618]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.gcl.modules will be built. 
2019-06-21 23:50:24,612 [  51620]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.doc.modules will be built. 
2019-06-21 23:50:24,614 [  51622]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.amd.modules will be built. 
2019-06-21 23:50:24,615 [  51623]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.directives.index will be built. 
2019-06-21 23:50:24,617 [  51625]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.directives.doc.index will be built. 
2019-06-21 23:50:24,619 [  51627]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.controller.index will be built. 
2019-06-21 23:50:24,620 [  51628]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.module.index will be built. 
2019-06-21 23:50:24,622 [  51630]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.filter.index will be built. 
2019-06-21 23:50:24,624 [  51632]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.symbol.index will be built. 
2019-06-21 23:50:24,625 [  51633]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.ui.router.states.index will be built. 
2019-06-21 23:50:24,627 [  51635]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.ui.router.generic.states.index will be built. 
2019-06-21 23:50:24,651 [  51659]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.templateUrl.index will be built. 
2019-06-21 23:50:24,654 [  51662]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.generic.modules.index will be built. 
2019-06-21 23:50:24,656 [  51664]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.delimiter.index will be built. 
2019-06-21 23:50:24,658 [  51666]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.templateUrl.index will be built. 
2019-06-21 23:50:24,659 [  51667]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.source.pipe.index will be built. 
2019-06-21 23:50:24,662 [  51670]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.source.directive.index will be built. 
2019-06-21 23:50:24,664 [  51672]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.source.module.index will be built. 
2019-06-21 23:50:24,666 [  51674]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.metadata.pipe.index will be built. 
2019-06-21 23:50:24,667 [  51675]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.metadata.entityClassName.index will be built. 
2019-06-21 23:50:24,669 [  51677]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.metadata.directive.index will be built. 
2019-06-21 23:50:24,671 [  51679]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.metadata.node.index will be built. 
2019-06-21 23:50:24,673 [  51681]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.metadata.function.index will be built. 
2019-06-21 23:50:24,675 [  51683]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.metadata.module.index will be built. 
2019-06-21 23:50:24,677 [  51685]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index jade.mixin will be built. 
2019-06-21 23:50:24,678 [  51686]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index vue.components.index will be built. 
2019-06-21 23:50:24,680 [  51688]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index vue.options.index will be built. 
2019-06-21 23:50:24,681 [  51689]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index vue.mixin.binding.index will be built. 
2019-06-21 23:50:24,682 [  51690]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index vue.extends.binding.index will be built. 
2019-06-21 23:50:24,684 [  51692]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index vue.global.directives.index will be built. 
